X,Y,PROVINCIA,NEW_NCART,SIMBC,TIPO_UC,LIMIT_PPAL,LIMIT_SECU,LIMIT_TERC,IND_PROD,PORC_SUE1,POSI_SUE1,ORDEN_SUE1,GGRUP_SUE1,SGRUP_SUE1,TEXT_SUPS1,TEXT_BS1,DRENAJE_S1,PROFUND_S1,ALCALIN_S1,PORC_PENS1,ERHIDR_S1,EREOLI_S1,ROCOS_S1,ANEGAB_S1,PORC_SUE2,POSI_SUE2,ORDEN_SUE2,GGRUP_SUE2,SGRUP_SUE2,PORC_SUE3,POSI_SUE3,ORDEN_SUE3,GGRUP_SUE3,SGRUP_SUE3,OGC_FID,AREA,PERIMETER
-61.7308182578676,-37.6095552550751,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3635.00000,0.008458,0.397617
-62.1810334888213,-37.705867818364,BUENOS AIRES,1099.00000,MItc-32,Asociacion,Prof.Efectiva somera,Suscep eros hidrica,-,55.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Afloramiento rocoso,Molisoles,Hapludoles,Hapludoles petrocalcico,3636.00000,0.067474,2.927335
-61.5371792264055,-37.6651024651024,BUENOS AIRES,1163.00000,MJtc-9,Asociacion,Prof.Efectiva somera,Erosion hidrica actu,-,53.00000,50.00000,Valle,Molisoles,Hapludoles,Hapludoles tipico,Franca,Franca,Bien drenado,100.00000,No sodico,0.00000,-,Moderada,-,-,30.00000,Pendiente,Molisoles,Hapludoles,Hapludoles entico,20.00000,Colinas de pendiente corta,Molisoles,Hapludoles,Hapludoles litico,3639.00000,0.020468,1.638872
-61.5073592339348,-37.6513401877716,BUENOS AIRES,1162.00000,MJtc-8,Asociacion,Prof.Efectiva somera,-,-,35.00000,50.00000,Loma,Molisoles,Hapludoles,Hapludoles tipico,Franca,Franca,Bien drenado,100.00000,No sodico,0.00000,-,Moderada,-,-,30.00000,Microloma,Molisoles,Hapludoles,Hapludoles entico,20.00000,Llanura,Molisoles,Argiudoles,Argiudoles tipico,3642.00000,0.005101,0.476615
-61.7367995585765,-37.7587151751712,BUENOS AIRES,1085.00000,MItc-17,Asociacion,Prof.Efectiva somera,-,-,49.00000,60.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,40.00000,Microloma,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,3643.00000,0.059124,1.656412
-62.4139869413326,-37.6230946303582,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,3661.00000,0.000440,0.090265
-62.4615665369358,-37.6299344005949,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,3663.00000,0.000756,0.149498
-62.351764665028,-37.6358824331862,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,3666.00000,0.000425,0.114135
-61.7291058993603,-37.6856206201031,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3672.00000,0.005291,0.456480
-61.9597973634232,-37.9717576019682,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,3675.00000,0.116948,5.150835
-62.186648693572,-37.7298774070901,BUENOS AIRES,1088.00000,MItc-22,Asociacion,Suscep eros hidrica,-,-,52.00000,50.00000,Pendiente,Molisoles,Hapludoles,Hapludoles tipico,Franca,Franca,Bien drenado,100.00000,No sodico,0.00000,-,Moderada,-,-,50.00000,Valle,Molisoles,Argiudoles,Argiudoles tipico,0.00000,,,,,3688.00000,0.001034,0.204523
-62.3754015262828,-37.919756883267,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3704.00000,0.072914,1.956263
-61.687614326245,-38.0785279940968,BUENOS AIRES,1099.00000,MItc-32,Asociacion,Prof.Efectiva somera,Suscep eros hidrica,-,55.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Afloramiento rocoso,Molisoles,Hapludoles,Hapludoles petrocalcico,3720.00000,0.119525,6.254391
-62.2282421054292,-37.8650886024948,BUENOS AIRES,1099.00000,MItc-32,Asociacion,Prof.Efectiva somera,Suscep eros hidrica,-,55.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Afloramiento rocoso,Molisoles,Hapludoles,Hapludoles petrocalcico,3723.00000,0.019336,1.291089
-62.1189201729117,-37.8639566637444,BUENOS AIRES,1088.00000,MItc-22,Asociacion,Suscep eros hidrica,-,-,52.00000,50.00000,Pendiente,Molisoles,Hapludoles,Hapludoles tipico,Franca,Franca,Bien drenado,100.00000,No sodico,0.00000,-,Moderada,-,-,50.00000,Valle,Molisoles,Argiudoles,Argiudoles tipico,0.00000,,,,,3728.00000,0.004796,0.723476
-62.1390963431501,-37.8443565906167,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,3746.00000,0.003127,0.283687
